from,to,comm_from,comm_to
400,528,1,1
3,523,1,1
179,282,1,1
519,538,1,1
8,516,1,1
399,444,1,1
53,360,1,1
214,371,1,1
70,95,1,1
5,34,1,1
48,255,1,1
205,460,1,1
7,254,1,1
17,243,1,1
6,361,1,1
43,515,1,1
12,140,1,1
316,253,1,1
174,392,1,1
22,525,1,1
208,228,1,1
424,509,1,1
65,413,1,1
97,436,1,1
4,196,1,1
194,433,1,1
161,238,1,1
26,507,1,1
30,458,1,1
137,340,1,1
213,337,1,1
30,151,1,1
64,494,1,1
63,477,1,1
34,187,1,1
206,242,1,1
3,269,1,1
4,360,1,1
171,429,1,1
32,456,1,1
340,484,1,1
269,332,1,1
52,78,1,1
41,254,1,1
179,372,1,1
115,537,1,1
196,26,1,1
31,511,1,1
143,300,1,1
494,553,1,1
41,11,1,1
32,197,1,1
22,518,1,1
179,60,1,1
45,274,1,1
24,293,1,1
29,189,1,1
60,66,1,1
56,274,1,1
9,134,1,1
164,489,1,1
79,131,1,1
114,193,1,1
53,484,1,1
41,351,1,1
147,280,1,1
28,547,1,1
99,398,1,1
178,383,1,1
207,216,1,1
233,380,1,1
263,431,1,1
22,118,1,1
223,260,1,1
90,157,1,1
7,526,1,1
28,351,1,1
35,414,1,1
402,108,1,1
406,24,1,1
19,533,1,1
9,35,1,1
388,485,1,1
187,386,1,1
251,427,1,1
28,334,1,1
244,411,1,1
22,462,1,1
41,427,1,1
22,514,1,1
508,400,1,1
52,388,1,1
236,395,1,1
196,44,1,1
75,496,1,1
146,458,1,1
6,22,1,1
342,483,1,1
9,128,1,1
508,22,1,1
9,11,1,1
48,210,1,1
499,50,1,1
265,148,1,1
53,93,1,1
263,206,1,1
9,318,1,1
222,356,1,1
7,83,1,1
54,450,1,1
41,436,1,1
38,398,1,1
10,268,1,1
39,463,1,1
3,12,1,1
521,525,1,1
238,312,1,1
265,2,1,1
71,501,1,1
30,295,1,1
57,288,1,1
120,362,1,1
33,363,1,1
41,67,1,1
40,378,1,1
310,14,1,1
406,292,1,1
259,289,1,1
10,117,1,1
236,444,1,1
30,244,1,1
87,285,1,1
38,399,1,1
4,23,1,1
463,271,1,1
202,351,1,1
3,167,1,1
227,533,1,1
250,438,1,1
546,551,1,1
45,111,1,1
508,125,1,1
146,356,1,1
291,490,1,1
41,10,1,1
96,535,1,1
149,549,1,1
404,471,1,1
53,530,1,1
32,108,1,1
193,289,1,1
32,92,1,1
474,510,1,1
20,499,1,1
223,348,1,1
31,217,1,1
316,510,1,1
23,362,1,1
3,137,1,1
163,303,1,1
266,413,1,1
77,352,1,1
121,122,1,1
53,263,1,1
300,381,1,1
416,461,1,1
41,413,1,1
456,515,1,1
5,184,1,1
236,269,1,1
508,293,1,1
4,418,1,1
433,519,1,1
20,521,1,1
29,213,1,1
9,434,1,1
115,201,1,1
5,473,1,1
63,483,1,1
3,17,1,1
3,405,1,1
137,472,1,1
406,161,1,1
5,43,1,1
48,24,1,1
179,362,1,1
145,440,1,1
2,504,1,1
34,436,1,1
294,457,1,1
164,493,1,1
180,295,1,1
219,428,1,1
43,410,1,1
17,165,1,1
40,332,1,1
5,507,1,1
3,211,1,1
33,242,1,1
67,366,1,1
476,455,1,1
116,351,1,1
59,87,1,1
32,313,1,1
96,434,1,1
63,413,1,1
508,536,1,1
178,484,1,1
27,30,1,1
208,238,1,1
30,463,1,1
96,265,1,1
94,354,1,1
36,473,1,1
376,507,1,1
61,84,1,1
11,33,1,1
50,213,1,1
32,208,1,1
40,507,1,1
78,285,1,1
78,107,1,1
90,422,1,1
3,286,1,1
402,153,1,1
327,545,1,1
3,9,1,1
302,391,1,1
263,497,1,1
284,519,1,1
18,284,1,1
12,372,1,1
3,124,1,1
28,471,1,1
328,415,1,1
178,68,1,1
40,308,1,1
268,305,1,1
53,265,1,1
4,535,1,1
40,208,1,1
25,210,1,1
5,479,1,1
360,468,1,1
11,391,1,1
38,134,1,1
399,299,1,1
402,529,1,1
412,501,1,1
274,387,1,1
25,485,1,1
15,468,1,1
32,173,1,1
7,322,1,1
164,428,1,1
302,26,1,1
265,549,1,1
400,540,1,1
387,479,1,1
326,526,1,1
208,459,1,1
86,93,1,1
28,406,1,1
33,419,1,1
8,375,1,1
215,270,1,1
21,215,1,1
30,37,1,1
29,52,1,1
60,356,1,1
499,420,1,1
237,345,1,1
5,96,1,1
245,302,1,1
293,335,1,1
86,545,1,1
149,353,1,1
509,528,1,1
520,529,1,1
140,312,1,1
3,157,1,1
295,14,1,1
229,462,1,1
9,27,1,1
1,498,1,1
4,97,1,1
316,35,1,1
66,81,1,1
9,279,1,1
33,237,1,1
35,409,1,1
11,218,1,1
8,383,1,1
8,39,1,1
12,39,1,1
265,245,1,1
68,317,1,1
495,551,1,1
292,395,1,1
39,532,1,1
126,486,1,1
265,435,1,1
27,398,1,1
40,77,1,1
77,249,1,1
17,450,1,1
343,536,1,1
216,294,1,1
40,497,1,1
35,420,1,1
99,532,1,1
52,201,1,1
414,428,1,1
202,255,1,1
22,68,1,1
71,134,1,1
3,162,1,1
37,327,1,1
241,261,1,1
38,493,1,1
35,108,1,1
141,254,1,1
178,519,1,1
48,198,1,1
399,172,1,1
3,463,1,1
74,530,1,1
31,56,1,1
11,32,1,1
53,438,1,1
260,543,1,1
20,429,1,1
