from,to,comm_from,comm_to
23,39,1,1
91,375,1,1
8,47,1,1
98,453,1,1
333,394,1,1
4,23,1,1
2,123,1,1
1,11,1,1
196,252,1,1
6,21,1,1
284,507,1,1
522,376,1,1
111,423,1,1
162,93,1,1
3,404,1,1
190,313,1,1
3,6,1,1
481,15,1,1
30,542,1,1
109,491,1,1
105,331,1,1
38,553,1,1
202,423,1,1
12,39,1,1
23,452,1,1
208,420,1,1
33,167,1,1
298,331,1,1
405,460,1,1
189,300,1,1
146,236,1,1
109,117,1,1
408,539,1,1
4,179,1,1
40,248,1,1
20,385,1,1
102,81,1,1
3,128,1,1
12,464,1,1
20,53,1,1
2,8,1,1
37,50,1,1
139,312,1,1
1,2,1,1
58,296,1,1
149,49,1,1
5,303,1,1
60,494,1,1
9,34,1,1
6,310,1,1
38,69,1,1
79,554,1,1
39,97,1,1
51,508,1,1
232,286,1,1
142,456,1,1
102,101,1,1
169,319,1,1
506,122,1,1
211,344,1,1
292,327,1,1
21,215,1,1
6,12,1,1
472,272,1,1
3,30,1,1
12,459,1,1
433,494,1,1
349,278,1,1
205,403,1,1
208,340,1,1
437,454,1,1
109,279,1,1
92,311,1,1
360,468,1,1
312,512,1,1
506,51,1,1
19,157,1,1
54,377,1,1
179,210,1,1
93,416,1,1
77,260,1,1
6,19,1,1
17,85,1,1
48,290,1,1
191,294,1,1
224,502,1,1
256,425,1,1
37,493,1,1
33,277,1,1
151,485,1,1
52,49,1,1
7,482,1,1
17,31,1,1
39,106,1,1
307,393,1,1
506,57,1,1
4,427,1,1
410,445,1,1
246,477,1,1
382,528,1,1
47,375,1,1
26,79,1,1
42,237,1,1
54,455,1,1
190,448,1,1
192,352,1,1
193,367,1,1
5,379,1,1
40,457,1,1
174,252,1,1
184,403,1,1
522,153,1,1
4,5,1,1
247,551,1,1
1,5,1,1
2,215,1,1
251,534,1,1
22,143,1,1
8,529,1,1
142,182,1,1
506,51,1,1
36,247,1,1
162,43,1,1
40,440,1,1
45,271,1,1
26,244,1,1
4,53,1,1
20,498,1,1
142,192,1,1
497,516,1,1
203,546,1,1
36,263,1,1
63,372,1,1
95,299,1,1
77,447,1,1
472,84,1,1
18,266,1,1
102,138,1,1
225,366,1,1
399,446,1,1
225,85,1,1
239,339,1,1
263,350,1,1
476,242,1,1
7,527,1,1
88,27,1,1
34,324,1,1
472,74,1,1
52,358,1,1
199,238,1,1
38,340,1,1
522,328,1,1
68,275,1,1
22,476,1,1
186,395,1,1
22,51,1,1
197,265,1,1
5,80,1,1
343,369,1,1
38,369,1,1
25,216,1,1
81,365,1,1
5,19,1,1
66,451,1,1
